,questionId,question_id,subject,skill_desc,main_topic,ccw_num,902D LOWER,903D MEDIUM,1000D LOWER,1000D UPPER,902D UPPER,1000D MEDIUM,903D LOWER,902D MEDIUM,903D UPPER,901D UPPER,904D LOWER,901D LOWER,904D MEDIUM,904D UPPER,901D MEDIUM,BB3 UPPER,BB5 MEDIUM,BB9 MEDIUM,BB10 MEDIUM,BB4 MEDIUM,BB5 UPPER,BB2 UPPER,BB2 LOWER,BB9 UPPER,BB4 LOWER,BB6 MEDIUM,BB8 UPPER,BB2 MEDIUM,BB10 LOWER,BB1 MEDIUM,BB1 UPPER,BB10 UPPER,BB5 LOWER,BB4 UPPER,BB7 LOWER,BB6 LOWER,BB8 MEDIUM,BB3 LOWER,BB6 UPPER,BB8 LOWER,BB7 UPPER,BB3 MEDIUM,BB7 MEDIUM,BB9 LOWER,BB1 LOWER,LT9_Module2,LT9_Module1,LT10_Module1,LT4_Module1,LT8_Module1,LT3_Module2,LT7_Module1,LT6_Module1,LT2_Module2,LT2_Module1,LT8_Module2,LT4_Module2,LT3_Module1,LT6_Module2,LT10_Module2,LT5_Module1,LT7_Module2,LT1_Module1,LT5_Module2,LT1_Module2
2611,ccw-7304,7304,Math,Systems of two linear equations in two variables,Algebra ,ccw-7304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2614,ccw-8262,8262,Verbal,"Form, Structure, and Sense",Standard English Conventions,ccw-8262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2615,ccw-8501,8501,Verbal,Text Structure and Purpose,Craft and Structure,ccw-8501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2618,ccw-8043,8043,Verbal,Boundaries,Standard English Conventions,ccw-8043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2622,ccw-8525,8525,Verbal,Text Structure and Purpose,Craft and Structure,ccw-8525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2624,ccw-8332,8332,Verbal,Transitions,Expression of Ideas,ccw-8332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2625,ccw-7327,7327,Math,"Ratios, rates, proportional relationships, and units",Problem Solving and Data Analysis,ccw-7327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2631,ccw-8000,8000,Verbal,Boundaries,Standard English Conventions,ccw-8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2635,ccw-6820,6820,Math,Linear equations in two variables,Algebra ,ccw-6820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2638,ccw-7124,7124,Math,Nonlinear equations in one variable and systems of equations in two variables,Advanced Math,ccw-7124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
